sample,mappedReads,enhancerReads,promoterReads,enhancerPercent,promoterPercent
GM18486,20834545,5399471,9514158,25.9159535281428,45.6653025060062
GM18499,11962454,2719862,4437798,22.7366558734521,37.0977225910336
GM18501,21772938,5821532,10362310,26.7374664824747,47.592612443943
GM18502,3921985,835443,1333546,21.3015348095416,34.0018128575199
GM18504,29650414,7886703,14038520,26.5989641830971,47.3467925270791
GM18505,10073477,2309557,3187419,22.9271084849849,31.6416963080374
GM18507,17658637,4727825,7472098,26.7734423670411,42.314126509311
GM18508,27411813,7818217,12775183,28.5213422402962,46.6046627415706
GM18510,15796164,4040473,6780819,25.5788240739967,42.9269979724191
GM18511,26150574,7201006,12374720,27.5367034008508,47.321026299461
GM18516,12471639,3120033,5627758,25.0170246268353,45.1244459529337
GM18517,10872883,2752182,4671093,25.312348160097,42.9609423737936
GM18519,18263543,4810347,8073642,26.3385204064732,44.206329516677
GM18520,4425811,1040846,1760774,23.517633265406,39.7842113004826
GM18522,14250718,3568397,5488899,25.0401207854931,38.5166487751705
GM18852,15477409,4044979,6776211,26.134729656624,43.7813008624376
GM18853,29395351,8021925,13987507,27.2897744952935,47.5840788565512
GM18855,13877130,3488582,6430331,25.1390741457347,46.3376144779216
GM18856,25269096,7130874,11535953,28.219743199361,45.6524166911234
GM18858,14527092,3636692,6356987,25.0338608718111,43.7595287480798
GM18859,32221789,8708219,14998392,27.0258705995499,46.5473596143281
GM18861,12741314,3299059,5593474,25.8926120178814,43.9002916025773
GM18862,8065334,1919967,3794028,23.8051765742125,47.0411764720469
GM18870,12650749,3301389,5362430,26.0963916049556,42.3882412021612
GM18907,27689348,7899841,12941678,28.5302528611363,46.7388325647827
GM18909,25138895,7041338,11202762,28.0097355114455,44.5634623160644
GM18912,5483693,1392366,1903375,25.391027542935,34.7097293739821
GM18913,21252693,5717520,9224167,26.9025671240816,43.4023443523134
GM18916,9535324,2352184,3016951,24.6681077643507,31.6397324306966
GM19092,30018215,8165397,13999626,27.2014741715988,46.6371035053217
GM19093,10537537,2514002,3211293,23.8575864549752,30.4747969093727
GM19098,22359647,6086938,9167697,27.2228716312024,41.0010810993573
GM19099,13544576,3255072,5276503,24.0322915977584,38.9565756801837
GM19101,20688857,5690221,9513625,27.5037958839389,45.9842948307874
GM19114,13399512,3368322,5718033,25.1376468038538,42.6734421372957
GM19116,19691211,5530382,9185591,28.0855352167015,46.6481771994622
GM19119,22412271,5917495,11012086,26.4029245407572,49.1341818952662
GM19127,8054864,1915974,3723356,23.786546861623,46.2249393658291
GM19130,27877236,7372545,12187484,26.4464705180958,43.7184088121218
GM19131,9322691,2414459,3979408,25.8987346035603,42.6851860691296
GM19137,17932128,4984353,8037305,27.7956581617084,44.8206983577186
GM19138,18482795,5076470,8353227,27.4659216855459,45.1946093650879
GM19140,6937096,1655413,2067338,23.8631986641096,29.8012021168512
GM19141,24739626,6685424,11304158,27.0231409318799,45.6925177446094
GM19143,7636354,1843358,2927773,24.1392423661868,38.3399329051534
GM19144,26437493,7299213,12377883,27.6093236223268,46.8194279994703
GM19147,17260866,4425628,8695845,25.6396637341371,50.3789612873421
GM19152,21840628,5582478,10095359,25.5600617344886,46.222842127067
GM19153,9258927,2302028,4473628,24.8627945765206,48.3169162042211
GM19159,28530181,7695381,12979568,26.9727731485475,45.4941663356429
GM19160,14383272,3746447,6502686,26.0472512791248,45.2100606871649
GM19171,20484196,6045590,8613221,29.5134356261774,42.0481282252913
GM19190,15699650,4210056,7679597,26.8162411263945,48.9157210511062
GM19200,8839600,2087807,4083905,23.6187949680981,46.200110864745
GM19201,26512626,7110871,12626535,26.8206966748597,47.624611006092
GM19203,21516917,5693474,10440149,26.4604543485482,48.5206547016006
GM19204,24223053,6340472,11840670,26.1753627835434,48.8818234431473
GM19206,14855720,3871187,7073253,26.0585619545872,47.6129935136096
GM19207,34540362,9304369,17171955,26.937670774846,49.7156196567946
GM19209,9929529,2386123,4411574,24.0305758712221,44.4288344391763
GM19210,30821377,8305156,13646676,26.9460900465284,44.2766590214318
GM19222,12299224,3127618,5336083,25.429392943815,43.3855257860171
GM19223,22952729,6057132,11336539,26.3895940216956,49.3908110011668
GM19225,28199395,7331625,13246211,25.9992279976219,46.973387195009
GM19238,14182126,3561874,6190353,25.1152330757744,43.6489775933453
GM19239,16870737,4538931,7210444,26.9041654789592,42.7393539476076
GM19257,10324822,2560368,4646860,24.7981805400616,45.0066838924681
GM18520r,13818518,3851129,6337490,27.8693344684285,45.8622986922331
GM19099r,12105792,3305701,5759683,27.3067718328549,47.5779114658504
GM18522r,12223372,3337117,5295746,27.3011162549908,43.3247552312079
GM18517r,14112793,4036184,6537405,28.5994699986034,46.3225457923176
GM18505r,9597808,2568544,4168958,26.7617772724772,43.4365638487455
GM19131r,13311866,3693658,6045478,27.7471092332209,45.4142041393746
GM19222r*,9023900,2470410,4319734,27.3763007125522,47.8699232039362
GM19239r,13152036,3614620,6316981,27.4833493460632,48.0304418266495
GM19238r,16105072,4247674,7914015,26.3747594546612,49.1398920787191
